,Product Name,Ratings (OUT OF 5),Seller Name
URBN 10000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C | Micro Input | Pocket Size (Camo),₹999,3.9 out of 5 stars,Cocoblu Retail
"Ambrane 10000 mAh Lithium Polymer Stylo-10k Power Bank with 20 Watt Fast Charging, 1 USB and Type C Port,Blue",₹949,4.0 out of 5 stars,Cocoblu Retail
MI Power Bank 3i 20000mAh Lithium Polymer 18W Fast Power Delivery Charging | Input- Type C | Micro USB| Triple Output | Sandstone Black,"₹2,149",4.3 out of 5 stars,Cocoblu Retail
"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)","₹1,699",4.3 out of 5 stars,Cocoblu Retail
"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)","₹1,299",4.3 out of 5 stars,Cocoblu Retail
"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)","₹1,799",4.0 out of 5 stars,Cocoblu Retail
"Ambrane 10000 mAh Lithium Polymer Stylo-10k Power Bank with 20 Watt Fast Charging, 1 USB and Type C Port,Blue",₹949,4.0 out of 5 stars,Cocoblu Retail
"URBN 20000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)","₹1,999",4.0 out of 5 stars,Cocoblu Retail
"Duracell Power Bank 20000 mAh, Portable Charger, USB C/Micro USB Input, USB A/USB C Output, Fast Charge Technology, 22.5W Power Delivery for Smartphones, Tablets, Headphones and USB-Powered Devices","₹2,522",4.7 out of 5 stars,Only 2 left in stock
"Duracell Power Bank 10000 mAh, Portable Charger, USB C/Micro USB Input, USB A/USB C Output, Fast Charge Technology, 22.5W Power Delivery for Smartphones, Tablets, Headphones and USB-Powered Devices","₹1,649",4.2 out of 5 stars,Cocoblu Retail
"URBN 27000 mAh 22.5W Super Fast Charging Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)","₹3,007",4.0 out of 5 stars,Cocoblu Retail
"Amazon Basics 10000mAH Lithium Polymer Power Bank | 3 Charging Cables Included | Four Way Output (Micro USB, Type C, iPhone Cables and 1 USB Port), Dual Input (Type C, Micro USB) | Black","₹1,199",3.8 out of 5 stars,Appario Retail Private Ltd
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Black)",₹999,4.0 out of 5 stars,Cocoblu Retail
"Ambrane 20000mAh Power Bank with 10.5W Fast Charging, Dual USB Output, Made in India, Multi-Layer Protection, Wide Compatibility, Stylish & Compact Design + Free Type-C Cable (Capsule 20, Black)","₹1,299",3.6 out of 5 stars,Cocoblu Retail
MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),"₹1,299",4.3 out of 5 stars,Cocoblu Retail
"Wireless Portable Power Bank 5000mAh Wireless Charging Battery Pack Compatible with iPhone 8, 8+, X, XS, XSMAX, 11,11PRO, 11PRO MAX, 12,12 Mini,12 Pro,12 Pro Max,13mini/13/13pro Power","₹2,499",3.4 out of 5 stars,Out Of Stock
"Ambrane 20000mAh Power Bank, 20W Fast Charging, Tripe Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo 20K, Blue)","₹1,799",4.0 out of 5 stars,Cocoblu Retail
"Amazon Basics 10000mAH Lithium Polymer Power Bank | 3 Charging Cables Included | Four Way Output (Micro USB, Type C, iPhone Cables and 1 USB Port), Dual Input (Type C, Micro USB) | Black","₹1,199",3.8 out of 5 stars,Appario Retail Private Ltd
"Portronics Power 45 20000mAh Power Bank for Laptop/Mobile with 45W Fast Charging, Dual Input(Type C + Micro USB) & Triple Output(2USB + 1 Type C) with LED Indicators(Blue)","₹2,799",3.6 out of 5 stars,Cocoblu Retail
"Ambrane 50000mAh Power Bank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Max, Black)","₹4,399",4.1 out of 5 stars,Cocoblu Retail
"Ambrane 40000mAh Lithium Polymer Power Bank, 65W Fast Charging, MacBook & Type C Laptops Charging, Triple Output, Type-C PD & USB Ports for iPhones, Smartphones & Other Devices (Stylo Boost, Green)","₹4,199",3.7 out of 5 stars,Cocoblu Retail
Ambrane Lithium Polymer Stylo Max 50000mAh Power Bank - Blue,"₹4,399",4.1 out of 5 stars,Cocoblu Retail
